horde_primary
horde_secondary
wh_dlc05_elf_major_primary
wh_dlc05_elf_major_primary_coast
wh_dlc05_elf_major_primary_oak_of_ages	res_location_generic
wh_dlc05_elf_major_primary_oak_of_ages_mini
wh_dlc05_elf_major_secondary
wh_dlc05_elf_major_secondary_dyes	res_dyes
wh_dlc05_elf_major_secondary_furs	res_rom_furs
wh_dlc05_elf_major_secondary_gold	res_gold
wh_dlc05_elf_major_secondary_iron	res_rom_iron
wh_dlc05_elf_major_secondary_marble	res_rom_marble
wh_dlc05_elf_major_secondary_oak_of_ages
wh_dlc05_elf_major_secondary_oak_of_ages_mini
wh_dlc05_elf_major_secondary_pastures	res_rom_oil
wh_dlc05_elf_major_secondary_pottery	res_rom_textiles
wh_dlc05_elf_major_secondary_salt	res_rom_lead
wh_dlc05_elf_major_secondary_timber	res_rom_timber
wh_dlc05_elf_major_secondary_wine	res_rom_wine
wh_dlc05_elf_minor_primary
wh_dlc05_elf_minor_primary_coast
wh_dlc05_elf_minor_secondary
wh_dlc05_elf_minor_secondary_dyes	res_dyes
wh_dlc05_elf_minor_secondary_furs	res_rom_furs
wh_dlc05_elf_minor_secondary_gold	res_gold
wh_dlc05_elf_minor_secondary_iron	res_rom_iron
wh_dlc05_elf_minor_secondary_marble	res_rom_marble
wh_dlc05_elf_minor_secondary_pastures	res_rom_oil
wh_dlc05_elf_minor_secondary_pottery	res_rom_textiles
wh_dlc05_elf_minor_secondary_salt	res_rom_lead
wh_dlc05_elf_minor_secondary_timber	res_rom_timber
wh_dlc05_elf_minor_secondary_wine	res_rom_wine
wh_main_dwarf_orc_major_primary
wh_main_dwarf_orc_major_primary_coast
wh_main_dwarf_orc_major_secondary
wh_main_dwarf_orc_major_secondary_beer	res_rom_glass
wh_main_dwarf_orc_major_secondary_dyes	res_dyes
wh_main_dwarf_orc_major_secondary_furs	res_rom_furs
wh_main_dwarf_orc_major_secondary_gems	res_gems
wh_main_dwarf_orc_major_secondary_gold	res_gold
wh_main_dwarf_orc_major_secondary_iron	res_rom_iron
wh_main_dwarf_orc_major_secondary_marble	res_rom_marble
wh_main_dwarf_orc_major_secondary_pastures	res_rom_oil
wh_main_dwarf_orc_major_secondary_salt	res_rom_lead
wh_main_dwarf_orc_major_secondary_savage	res_savage
wh_main_dwarf_orc_major_secondary_timber	res_rom_timber
wh_main_dwarf_orc_minor_primary
wh_main_dwarf_orc_minor_primary_coast
wh_main_dwarf_orc_minor_secondary
wh_main_dwarf_orc_minor_secondary_beer	res_rom_glass
wh_main_dwarf_orc_minor_secondary_dyes	res_dyes
wh_main_dwarf_orc_minor_secondary_furs	res_rom_furs
wh_main_dwarf_orc_minor_secondary_gems	res_gems
wh_main_dwarf_orc_minor_secondary_gold	res_gold
wh_main_dwarf_orc_minor_secondary_iron	res_rom_iron
wh_main_dwarf_orc_minor_secondary_marble	res_rom_marble
wh_main_dwarf_orc_minor_secondary_pastures	res_rom_oil
wh_main_dwarf_orc_minor_secondary_salt	res_rom_lead
wh_main_dwarf_orc_minor_secondary_savage	res_savage
wh_main_dwarf_orc_minor_secondary_timber	res_rom_timber
wh_main_human_major_primary
wh_main_human_major_primary_coast
wh_main_human_major_secondary
wh_main_human_major_secondary_dyes	res_dyes
wh_main_human_major_secondary_furs	res_rom_furs
wh_main_human_major_secondary_gold	res_gold
wh_main_human_major_secondary_iron	res_rom_iron
wh_main_human_major_secondary_marble	res_rom_marble
wh_main_human_major_secondary_pastures	res_rom_oil
wh_main_human_major_secondary_pottery	res_rom_textiles
wh_main_human_major_secondary_salt	res_rom_lead
wh_main_human_major_secondary_timber	res_rom_timber
wh_main_human_major_secondary_wine	res_rom_wine
wh_main_human_minor_primary
wh_main_human_minor_primary_coast
wh_main_human_minor_secondary
wh_main_human_minor_secondary_dyes	res_dyes
wh_main_human_minor_secondary_furs	res_rom_furs
wh_main_human_minor_secondary_gold	res_gold
wh_main_human_minor_secondary_iron	res_rom_iron
wh_main_human_minor_secondary_marble	res_rom_marble
wh_main_human_minor_secondary_pastures	res_rom_oil
wh_main_human_minor_secondary_pottery	res_rom_textiles
wh_main_human_minor_secondary_salt	res_rom_lead
wh_main_human_minor_secondary_timber	res_rom_timber
wh_main_human_minor_secondary_wine	res_rom_wine
wh_main_norsca_major_primary
wh_main_norsca_major_primary_coast
wh_main_norsca_major_secondary
wh_main_norsca_major_secondary_iron	res_rom_iron
wh_main_norsca_major_secondary_marble	res_rom_marble
wh_main_norsca_major_secondary_obsidian	res_obsidian
wh_main_norsca_minor_primary
wh_main_norsca_minor_primary_coast
wh_main_norsca_minor_secondary
wh_main_norsca_minor_secondary_iron	res_rom_iron
wh_main_norsca_minor_secondary_marble	res_rom_marble
wh_main_norsca_minor_secondary_obsidian	res_obsidian
wh_main_norsca_port
wh_main_norsca_primary
wh_main_norsca_secondary
wh_main_port
wh_main_special_altdorf_primary	res_location_emp_vmp
wh_main_special_altdorf_secondary	res_rom_textiles
wh_main_special_black_crag_primary	res_location_grn
wh_main_special_black_crag_secondary	res_gold
wh_main_special_bordeleaux_port
wh_main_special_bordeleux_primary	res_location_emp_vmp_brt
wh_main_special_bordeleux_secondary	res_rom_wine
wh_main_special_carcassonne_primary	res_location_brt
wh_main_special_carcassonne_secondary	res_dyes
wh_main_special_carroburg_primary	res_location_emp
wh_main_special_carroburg_secondary	res_rom_oil
wh_main_special_castle_drakenhof_primary	res_location_vmp
wh_main_special_castle_drakenhof_secondary	res_gold
wh_main_special_couronne_primary	res_location_emp_brt
wh_main_special_couronne_secondary	res_rom_textiles
wh_main_special_crag_halls_primary
wh_main_special_crag_halls_secondary	res_rom_furs
wh_main_special_eight_peaks_primary	res_location_dwf_grn_skv
wh_main_special_eight_peaks_secondary	res_rom_oil
wh_main_special_erengrad_port
wh_main_special_erengrad_primary	res_location_generic
wh_main_special_erengrad_secondary	res_rom_textiles
wh_main_special_karag_dromar_primary	res_location_dwf
wh_main_special_karag_dromar_secondary
wh_main_special_karak_kadrin_2_secondary
wh_main_special_karak_kadrin_primary	res_location_dwf
wh_main_special_karak_kadrin_secondary
wh_main_special_karaz_a_karak_primary	res_location_dwf
wh_main_special_karaz_a_karak_secondary	res_gems
wh_main_special_kislev_primary	res_location_emp_vmp_brt
wh_main_special_kislev_secondary	res_rom_furs
wh_main_special_magritta_primary	res_location_emp_brt
wh_main_special_magritta_secondary	res_rom_iron
wh_main_special_marienburg_port
wh_main_special_marienburg_primary	res_location_generic
wh_main_special_marienburg_secondary	res_dyes
wh_main_special_middenheim_primary	res_location_emp_brt
wh_main_special_middenheim_secondary
wh_main_special_miragliano_primary	res_location_teb
wh_main_special_miragliano_secondary	res_rom_oil
wh_main_special_mount_gunbad_primary	res_location_dwf_skv
wh_main_special_mount_gunbad_secondary	res_gold
wh_main_special_nuln_primary	res_location_emp_vmp
wh_main_special_nuln_secondary
wh_main_special_talabheim_primary	res_location_emp_brt
wh_main_special_talabheim_secondary	res_rom_furs
wh_main_special_vauls_anvil_primary
wh_main_special_vauls_anvil_secondary	res_rom_timber
wh_main_special_waterfall_palace_primary
wh_main_special_waterfall_palace_secondary
wh_main_special_yn_edryl_korian_primary
wh_main_special_yn_edryl_korian_secondary
wh2_dlc09_special_bhagar_primary	res_location_tmb
wh2_dlc09_special_bhagar_secondary	res_gems
wh2_dlc09_special_black_tower_of_arkhan_secondary	res_location_tmb
wh2_dlc09_special_ka_sabar_primary	res_location_tmb
wh2_dlc09_special_ka_sabar_secondary	res_rom_oil
wh2_dlc09_special_numas_primary	res_location_tmb
wh2_dlc09_special_numas_secondary	res_location_tmb
wh2_dlc09_special_quatar_primary	res_location_tmb
wh2_dlc09_special_quatar_secondary	res_location_tmb
wh2_dlc09_special_zandri_primary	res_location_tmb
wh2_dlc09_special_zandri_secondary	res_rom_textiles
wh2_dlc10_special_gaean_vale_primary	res_location_generic
wh2_dlc10_special_gaean_vale_secondary	res_animals
wh2_dlc12_underempire
wh2_dlc12_underempire_laboratory
wh2_main_foreign
wh2_main_human_major_secondary_amber	res_amber
wh2_main_human_major_secondary_animals	res_animals
wh2_main_human_major_secondary_beer	res_rom_glass
wh2_main_human_major_secondary_gems	res_gems
wh2_main_human_major_secondary_medicine	res_medicine
wh2_main_human_major_secondary_obsidian	res_obsidian
wh2_main_human_major_secondary_spices	res_spices
wh2_main_human_minor_secondary_amber	res_amber
wh2_main_human_minor_secondary_animals	res_animals
wh2_main_human_minor_secondary_beer	res_rom_glass
wh2_main_human_minor_secondary_gems	res_gems
wh2_main_human_minor_secondary_medicine	res_medicine
wh2_main_human_minor_secondary_obsidian	res_obsidian
wh2_main_human_minor_secondary_spices	res_spices
wh2_main_special_altar_of_the_horned_rat_primary_ritual	res_ritual_currency
wh2_main_special_altar_of_the_horned_rat_secondary_ritual
wh2_main_special_altar_of_ultimate_darkness_primary	res_location_def
wh2_main_special_altar_of_ultimate_darkness_primary_major	res_location_def
wh2_main_special_altar_of_ultimate_darkness_primary_ritual	res_ritual_currency
wh2_main_special_altar_of_ultimate_darkness_secondary
wh2_main_special_altar_of_ultimate_darkness_secondary_major
wh2_main_special_altar_of_ultimate_darkness_secondary_ritual	res_location_def
wh2_main_special_axlotl_minor_primary	res_location_lzd
wh2_main_special_axlotl_minor_secondary	res_rom_timber
wh2_main_special_axlotl_primary	res_location_lzd
wh2_main_special_axlotl_secondary	res_rom_timber
wh2_main_special_castle_drachenfels_primary	res_location_vmp
wh2_main_special_castle_drachenfels_secondary	res_rom_iron
wh2_main_special_caverns_of_sotek_primary_ritual	res_ritual_currency
wh2_main_special_caverns_of_sotek_secondary_ritual	res_animals
wh2_main_special_chamber_of_visions_primary	res_location_generic
wh2_main_special_chamber_of_visions_primary_ritual	res_ritual_currency
wh2_main_special_chamber_of_visions_secondary	res_medicine
wh2_main_special_chamber_of_visions_secondary_ritual	res_medicine
wh2_main_special_clar_karond_primary	res_location_generic
wh2_main_special_clar_karond_secondary	res_rom_timber
wh2_main_special_clarak_spire_primary	res_location_def
wh2_main_special_clarak_spire_secondary
wh2_main_special_def_vauls_anvil_primary	res_location_hef_def
wh2_main_special_def_vauls_anvil_primary_ritual	res_ritual_currency
wh2_main_special_def_vauls_anvil_secondary
wh2_main_special_def_vauls_anvil_secondary_ritual	res_location_hef_def
wh2_main_special_elven_colony_major_primary	res_location_colony
wh2_main_special_elven_colony_minor_primary	res_location_colony
wh2_main_special_fallen_gates_primary	res_location_lzd
wh2_main_special_fallen_gates_secondary	res_spices
wh2_main_special_fortress_gate_eagle_primary	res_fortress
wh2_main_special_fortress_gate_griffon_primary	res_fortress
wh2_main_special_fortress_gate_phoenix_primary	res_fortress
wh2_main_special_fortress_gate_secondary	res_fortress
wh2_main_special_fortress_gate_unicorn_primary	res_fortress
wh2_main_special_gaean_vale_primary	res_location_hef_wef
wh2_main_special_gaean_vale_secondary	res_animals
wh2_main_special_galbaraz_primary	res_location_vmp_dwf_grn_skv_arkhan
wh2_main_special_galbaraz_secondary	res_savage
wh2_main_special_galleons_graveyard_port
wh2_main_special_galleons_graveyard_primary	res_location_generic
wh2_main_special_galleons_graveyard_secondary
wh2_main_special_ghrond_primary	res_location_generic
wh2_main_special_ghrond_primary_ritual	res_ritual_currency
wh2_main_special_ghrond_secondary	res_gold
wh2_main_special_ghrond_secondary_ritual	res_gold
wh2_main_special_glittering_tower_primary	res_location_hef
wh2_main_special_glittering_tower_secondary
wh2_main_special_golden_colossus_primary_ritual	res_ritual_currency
wh2_main_special_golden_colossus_secondary_ritual
wh2_main_special_golden_tower_of_the_gods_primary	res_location_generic
wh2_main_special_golden_tower_of_the_gods_primary_ritual	res_location_generic
wh2_main_special_golden_tower_of_the_gods_secondary
wh2_main_special_golden_tower_of_the_gods_secondary_ritual	res_ritual_currency
wh2_main_special_gor_gazan_primary	res_savage
wh2_main_special_gor_gazan_secondary	res_rom_iron
wh2_main_special_hag_graef_primary	res_location_generic
wh2_main_special_hag_graef_secondary
wh2_main_special_har_ganeth_primary	res_location_hef_def
wh2_main_special_har_ganeth_secondary
wh2_main_special_hef_vauls_anvil_primary	res_location_hef_def
wh2_main_special_hef_vauls_anvil_primary_ritual	res_ritual_currency
wh2_main_special_hef_vauls_anvil_secondary	res_rom_iron
wh2_main_special_hef_vauls_anvil_secondary_ritual	res_rom_iron
wh2_main_special_hellpit_primary	res_location_skv
wh2_main_special_hellpit_secondary	res_animals
wh2_main_special_hexoatl_primary	res_location_generic
wh2_main_special_hexoatl_secondary	res_gold
wh2_main_special_iron_rock_primary	res_location_dwf_skv
wh2_main_special_iron_rock_secondary	res_rom_iron
wh2_main_special_itza_primary	res_location_generic
wh2_main_special_itza_secondary	res_gold
wh2_main_special_karag_orrud_primary	res_location_skv
wh2_main_special_karag_orrud_secondary	res_obsidian
wh2_main_special_karak_izor_primary	res_location_dwf_skv
wh2_main_special_karak_izor_secondary
wh2_main_special_karak_zorn_primary	res_location_dwf
wh2_main_special_karak_zorn_secondary	res_gold
wh2_main_special_karond_kar_primary	res_location_def
wh2_main_special_karond_kar_secondary
wh2_main_special_khemri_primary	res_location_generic
wh2_main_special_khemri_secondary	res_gold
wh2_main_special_kraka_drak_primary	res_location_dwf
wh2_main_special_kraka_drak_secondary	res_gems
wh2_main_special_lahmia_primary	res_location_generic
wh2_main_special_lahmia_secondary	res_gems
wh2_main_special_lothern_port
wh2_main_special_lothern_primary	res_location_generic
wh2_main_special_lothern_secondary
wh2_main_special_marks_of_the_old_ones_primary_ritual	res_ritual_currency
wh2_main_special_marks_of_the_old_ones_secondary_ritual
wh2_main_special_mirror_pool_of_tepok_primary_ritual	res_ritual_currency
wh2_main_special_mirror_pool_of_tepok_secondary_ritual
wh2_main_special_mousillon_primary	res_location_vmp
wh2_main_special_mousillon_secondary
wh2_main_special_naggarond_primary	res_location_hef_def
wh2_main_special_naggarond_secondary	res_rom_marble
wh2_main_special_oyxl_minor_primary	res_location_skv_lzd
wh2_main_special_oyxl_minor_secondary	res_animals
wh2_main_special_oyxl_primary	res_location_skv_lzd
wh2_main_special_oyxl_secondary	res_animals
wh2_main_special_parravon_primary	res_location_brt_wef_hef
wh2_main_special_parravon_secondary	res_rom_marble
wh2_main_special_pyramid_of_nagash_primary	res_location_generic
wh2_main_special_pyramid_of_nagash_primary_ritual	res_location_generic
wh2_main_special_pyramid_of_nagash_secondary
wh2_main_special_pyramid_of_nagash_secondary_ritual	res_ritual_currency
wh2_main_special_quetza_primary	res_location_lzd
wh2_main_special_quetza_secondary
wh2_main_special_quintex_primary	res_location_generic
wh2_main_special_quintex_secondary	res_obsidian
wh2_main_special_salzenmund_primary	res_location_xef_emp_brt
wh2_main_special_salzenmund_secondary	res_rom_timber
wh2_main_special_sartosa_coast_primary	res_location_generic
wh2_main_special_sartosa_primary	res_location_generic
wh2_main_special_sartosa_secondary	res_rom_wine
wh2_main_special_shrine_of_asuryan_primary	res_location_hef_def
wh2_main_special_shrine_of_asuryan_secondary
wh2_main_special_shrine_of_khaine_primary	res_location_generic
wh2_main_special_shrine_of_khaine_primary_ritual	res_ritual_currency
wh2_main_special_shrine_of_khaine_secondary
wh2_main_special_shrine_of_khaine_secondary_ritual	res_location_generic
wh2_main_special_shrine_of_sotek_secondary	res_dyes
wh2_main_special_skavenblight_primary	res_location_skv
wh2_main_special_skavenblight_secondary
wh2_main_special_skeggi_primary_major	res_location_nor
wh2_main_special_skeggi_primary_minor	res_location_nor
wh2_main_special_skeggi_secondary_major
wh2_main_special_skeggi_secondary_minor
wh2_main_special_star_tower_secondary	res_obsidian
wh2_main_special_the_awakening_primary	res_location_generic
wh2_main_special_the_awakening_secondary
wh2_main_special_tlaxtlan_primary	res_location_lzd
wh2_main_special_tlaxtlan_primary_ritual	res_ritual_currency
wh2_main_special_tlaxtlan_secondary
wh2_main_special_tlaxtlan_secondary_ritual	res_location_lzd
wh2_main_special_tor_achare_primary	res_location_hef
wh2_main_special_tor_achare_secondary	res_rom_furs
wh2_main_special_tor_anlec_primary	res_location_hef_def
wh2_main_special_tor_anlec_secondary	res_rom_marble
wh2_main_special_tor_anroc_primary	res_location_hef_def
wh2_main_special_tor_anroc_secondary	res_gold
wh2_main_special_tor_elyr_primary	res_location_hef
wh2_main_special_tor_elyr_primary_nonport	res_location_hef
wh2_main_special_tor_elyr_secondary	res_rom_wine
wh2_main_special_tor_koruali_primary	res_location_hef
wh2_main_special_tor_koruali_secondary	res_rom_lead
wh2_main_special_tor_surpindar_primary_ritual	res_ritual_currency
wh2_main_special_tor_surpindar_secondary_ritual
